date,closeprice
2018-09-28,1190.4
2018-10-08,1188.3
2018-10-09,1189.6
2018-10-10,1194.6
2018-10-11,1225.0
2018-10-12,1218.1
2018-10-15,1226.88
2018-10-16,1224.6
2018-10-17,1222.3
2018-10-18,1225.6
2018-10-19,1225.6
2018-10-22,1222.755
2018-10-23,1229.9
2018-10-24,1234.2
2018-10-25,1231.8
2018-10-26,1233.08
2018-10-29,1228.9
2018-10-30,1223.0
2018-10-31,1215.0
2018-11-01,1233.2
2018-11-02,1232.53
2018-11-05,1231.42
2018-11-06,1226.584
2018-11-07,1226.39
2018-11-08,1223.5
2018-11-09,1209.2
2018-11-12,1200.41
2018-11-13,1201.93
2018-11-14,1210.596
2018-11-15,1213.3
2018-11-16,1221.136
2018-11-19,1223.94
2018-11-20,1221.3
2018-11-21,1225.704
2018-11-22,1226.856
2018-11-23,1222.85
2018-11-26,1222.1
2018-11-27,1214.8
2018-11-28,1220.9
2018-11-29,1224.3
2018-11-30,1222.164
2018-12-03,1230.55
2018-12-04,1238.245
2018-12-05,1236.885
2018-12-06,1237.5
2018-12-07,1248.19
2018-12-10,1244.2
2018-12-11,1242.8
2018-12-12,1245.335
2018-12-13,1241.705
2018-12-14,1238.54
2018-12-17,1245.564
2018-12-18,1249.195
2018-12-19,1242.695
2018-12-20,1259.69
2018-12-21,1255.643
2018-12-24,1269.02
2018-12-25,1269.8
2018-12-26,1266.9
2018-12-27,1275.5
2018-12-28,1280.664
2019-01-02,1284.156
2019-01-03,1293.9
2019-01-04,1284.594
2019-01-07,1288.864
2019-01-08,1285.2
2019-01-09,1293.0
2019-01-10,1286.3
2019-01-11,1287.174
2019-01-14,1290.8
2019-01-15,1289.1
2019-01-16,1293.4
2019-01-17,1291.9
2019-01-18,1281.314
2019-01-21,1280.05
2019-01-22,1285.1
2019-01-23,1282.41
2019-01-24,1281.0
2019-01-25,1302.794
2019-01-28,1303.2
2019-01-29,1311.443
2019-01-30,1319.53
2019-01-31,1321.3
2019-02-01,1317.61
2019-02-11,1308.12
2019-02-12,1310.7
2019-02-13,1305.975
2019-02-14,1312.25
2019-02-15,1320.761
2019-02-18,1326.04
2019-02-19,1341.0
2019-02-20,1338.34
2019-02-21,1323.1
2019-02-22,1327.876
2019-02-25,1327.3
2019-02-26,1328.9
2019-02-27,1319.5
2019-02-28,1313.15
2019-03-01,1293.47
2019-03-04,1286.5
2019-03-05,1287.7
2019-03-06,1287.7
