"DateTime","AU1606.SHF","AU1612.SHF","AU1706.SHF","AU1712.SHF","AU1806.SHF","AU1812.SHF","AU1906.SHF"
2016-10-11,NaN,180290,9186,NaN,NaN,NaN,NaN
2016-10-12,NaN,142370,8962,NaN,NaN,NaN,NaN
2016-10-13,NaN,211380,6780,NaN,NaN,NaN,NaN
2016-10-14,NaN,156426,7096,NaN,NaN,NaN,NaN
2016-10-17,NaN,194610,11458,NaN,NaN,NaN,NaN
2016-10-18,NaN,150702,11098,NaN,NaN,NaN,NaN
2016-10-19,NaN,136832,12006,NaN,NaN,NaN,NaN
2016-10-20,NaN,156082,9314,NaN,NaN,NaN,NaN
2016-10-21,NaN,165012,8866,NaN,NaN,NaN,NaN
2016-10-24,NaN,130816,19834,NaN,NaN,NaN,NaN
2016-10-25,NaN,170374,21440,NaN,NaN,NaN,NaN
2016-10-26,NaN,186498,43338,NaN,NaN,NaN,NaN
2016-10-27,NaN,154518,34970,NaN,NaN,NaN,NaN
2016-10-28,NaN,146162,33092,NaN,NaN,NaN,NaN
2016-10-31,NaN,231556,47570,NaN,NaN,NaN,NaN
2016-11-01,NaN,122000,48358,NaN,NaN,NaN,NaN
2016-11-02,NaN,142370,56654,NaN,NaN,NaN,NaN
2016-11-03,NaN,153342,62574,NaN,NaN,NaN,NaN
2016-11-04,NaN,135836,64678,NaN,NaN,NaN,NaN
2016-11-07,NaN,134896,68358,NaN,NaN,NaN,NaN
2016-11-08,NaN,98046,68224,NaN,NaN,NaN,NaN
2016-11-09,NaN,429826,270780,NaN,NaN,NaN,NaN
2016-11-10,NaN,231386,217030,NaN,NaN,NaN,NaN
2016-11-11,NaN,172052,248716,NaN,NaN,NaN,NaN
2016-11-14,NaN,148832,360232,NaN,NaN,NaN,NaN
2016-11-15,NaN,70400,245686,NaN,NaN,NaN,NaN
2016-11-16,NaN,43040,180050,36,NaN,NaN,NaN
2016-11-17,NaN,25162,136938,10,NaN,NaN,NaN
2016-11-18,NaN,38362,216120,42,NaN,NaN,NaN
2016-11-21,NaN,27188,189682,20,NaN,NaN,NaN
2016-11-22,NaN,28136,179428,0,NaN,NaN,NaN
2016-11-23,NaN,22556,177860,14,NaN,NaN,NaN
2016-11-24,NaN,33976,340644,30,NaN,NaN,NaN
2016-11-25,NaN,18860,253516,62,NaN,NaN,NaN
2016-11-28,NaN,22940,256832,26,NaN,NaN,NaN
2016-11-29,NaN,15768,204490,34,NaN,NaN,NaN
2016-11-30,NaN,17014,200036,44,NaN,NaN,NaN
2016-12-01,NaN,6556,318392,82,NaN,NaN,NaN
2016-12-02,NaN,2136,206838,46,NaN,NaN,NaN
2016-12-05,NaN,1608,289230,60,NaN,NaN,NaN
2016-12-06,NaN,2538,234960,90,NaN,NaN,NaN
2016-12-07,NaN,1368,170588,30,NaN,NaN,NaN
2016-12-08,NaN,1164,244680,154,NaN,NaN,NaN
2016-12-09,NaN,888,177508,64,NaN,NaN,NaN
2016-12-12,NaN,2862,203912,112,NaN,NaN,NaN
2016-12-13,NaN,132,173102,106,NaN,NaN,NaN
2016-12-14,NaN,126,247566,776,NaN,NaN,NaN
2016-12-15,NaN,0,312470,2448,NaN,NaN,NaN
2016-12-16,NaN,NaN,235872,1486,NaN,NaN,NaN
2016-12-19,NaN,NaN,172448,864,NaN,NaN,NaN
2016-12-20,NaN,NaN,157024,636,NaN,NaN,NaN
2016-12-21,NaN,NaN,208540,1138,NaN,NaN,NaN
2016-12-22,NaN,NaN,119052,684,NaN,NaN,NaN
2016-12-23,NaN,NaN,155500,816,NaN,NaN,NaN
2016-12-26,NaN,NaN,127840,850,NaN,NaN,NaN
2016-12-27,NaN,NaN,132016,446,NaN,NaN,NaN
2016-12-28,NaN,NaN,172420,1388,NaN,NaN,NaN
2016-12-29,NaN,NaN,217154,2770,NaN,NaN,NaN
2016-12-30,NaN,NaN,257682,1512,NaN,NaN,NaN
2017-01-03,NaN,NaN,134748,1762,NaN,NaN,NaN
2017-01-04,NaN,NaN,237240,2186,NaN,NaN,NaN
2017-01-05,NaN,NaN,281262,1420,NaN,NaN,NaN
2017-01-06,NaN,NaN,231806,3846,NaN,NaN,NaN
2017-01-09,NaN,NaN,175304,1040,NaN,NaN,NaN
2017-01-10,NaN,NaN,201672,878,NaN,NaN,NaN
2017-01-11,NaN,NaN,183268,1312,NaN,NaN,NaN
2017-01-12,NaN,NaN,342304,7460,NaN,NaN,NaN
2017-01-13,NaN,NaN,185390,1456,NaN,NaN,NaN
2017-01-16,NaN,NaN,215196,3142,NaN,NaN,NaN
2017-01-17,NaN,NaN,158070,1772,NaN,NaN,NaN
2017-01-18,NaN,NaN,194254,2626,NaN,NaN,NaN
2017-01-19,NaN,NaN,176830,6210,NaN,NaN,NaN
2017-01-20,NaN,NaN,159596,2346,NaN,NaN,NaN
2017-01-23,NaN,NaN,175522,1634,NaN,NaN,NaN
2017-01-24,NaN,NaN,119818,1358,NaN,NaN,NaN
2017-01-25,NaN,NaN,149430,2870,NaN,NaN,NaN
2017-01-26,NaN,NaN,142822,3778,NaN,NaN,NaN
2017-02-03,NaN,NaN,82082,2592,NaN,NaN,NaN
2017-02-06,NaN,NaN,190770,1814,NaN,NaN,NaN
2017-02-07,NaN,NaN,160366,1368,NaN,NaN,NaN
2017-02-08,NaN,NaN,142374,2048,NaN,NaN,NaN
2017-02-09,NaN,NaN,148408,1784,NaN,NaN,NaN
2017-02-10,NaN,NaN,220922,2092,NaN,NaN,NaN
2017-02-13,NaN,NaN,197398,5712,NaN,NaN,NaN
2017-02-14,NaN,NaN,163040,4092,NaN,NaN,NaN
2017-02-15,NaN,NaN,188556,3574,NaN,NaN,NaN
2017-02-16,NaN,NaN,224336,3196,NaN,NaN,NaN
2017-02-17,NaN,NaN,155914,3476,NaN,NaN,NaN
2017-02-20,NaN,NaN,148746,4258,NaN,NaN,NaN
2017-02-21,NaN,NaN,99214,4330,NaN,NaN,NaN
2017-02-22,NaN,NaN,159914,2720,NaN,NaN,NaN
2017-02-23,NaN,NaN,153238,3100,NaN,NaN,NaN
2017-02-24,NaN,NaN,273622,4010,NaN,NaN,NaN
2017-02-27,NaN,NaN,180334,5642,NaN,NaN,NaN
2017-02-28,NaN,NaN,160636,3576,NaN,NaN,NaN
2017-03-01,NaN,NaN,209236,6762,NaN,NaN,NaN
2017-03-02,NaN,NaN,170848,2558,NaN,NaN,NaN
2017-03-03,NaN,NaN,238202,3130,NaN,NaN,NaN
2017-03-06,NaN,NaN,182046,6168,NaN,NaN,NaN
2017-03-07,NaN,NaN,137414,2600,NaN,NaN,NaN
2017-03-08,NaN,NaN,174404,8304,NaN,NaN,NaN
2017-03-09,NaN,NaN,213736,8386,NaN,NaN,NaN
2017-03-10,NaN,NaN,200774,8182,NaN,NaN,NaN
2017-03-13,NaN,NaN,247398,8710,NaN,NaN,NaN
2017-03-14,NaN,NaN,129460,3710,NaN,NaN,NaN
2017-03-15,NaN,NaN,150980,3348,NaN,NaN,NaN
2017-03-16,NaN,NaN,261416,10760,NaN,NaN,NaN
2017-03-17,NaN,NaN,137970,4084,NaN,NaN,NaN
2017-03-20,NaN,NaN,138722,6502,NaN,NaN,NaN
2017-03-21,NaN,NaN,167944,9308,NaN,NaN,NaN
2017-03-22,NaN,NaN,244648,8526,NaN,NaN,NaN
2017-03-23,NaN,NaN,164432,6356,NaN,NaN,NaN
2017-03-24,NaN,NaN,184200,5980,NaN,NaN,NaN
2017-03-27,NaN,NaN,162888,7488,NaN,NaN,NaN
2017-03-28,NaN,NaN,148832,8642,NaN,NaN,NaN
2017-03-29,NaN,NaN,159592,9150,NaN,NaN,NaN
2017-03-30,NaN,NaN,126756,6954,NaN,NaN,NaN
2017-03-31,NaN,NaN,178510,9366,NaN,NaN,NaN
2017-04-05,NaN,NaN,74992,7400,NaN,NaN,NaN
2017-04-06,NaN,NaN,198064,13856,NaN,NaN,NaN
2017-04-07,NaN,NaN,294194,29718,NaN,NaN,NaN
2017-04-10,NaN,NaN,254310,22932,NaN,NaN,NaN
2017-04-11,NaN,NaN,169940,12806,NaN,NaN,NaN
2017-04-12,NaN,NaN,316430,22048,NaN,NaN,NaN
2017-04-13,NaN,NaN,242774,35872,NaN,NaN,NaN
2017-04-14,NaN,NaN,152170,17058,NaN,NaN,NaN
2017-04-17,NaN,NaN,196830,34504,NaN,NaN,NaN
2017-04-18,NaN,NaN,194112,40722,NaN,NaN,NaN
2017-04-19,NaN,NaN,250222,31598,NaN,NaN,NaN
2017-04-20,NaN,NaN,216358,34880,NaN,NaN,NaN
2017-04-21,NaN,NaN,170642,14380,NaN,NaN,NaN
2017-04-24,NaN,NaN,310052,37762,NaN,NaN,NaN
2017-04-25,NaN,NaN,166292,28280,NaN,NaN,NaN
2017-04-26,NaN,NaN,183112,30530,NaN,NaN,NaN
2017-04-27,NaN,NaN,154594,31178,NaN,NaN,NaN
2017-04-28,NaN,NaN,129946,32364,NaN,NaN,NaN
2017-05-02,NaN,NaN,88702,39920,NaN,NaN,NaN
2017-05-03,NaN,NaN,67824,30714,NaN,NaN,NaN
2017-05-04,NaN,NaN,149004,92606,NaN,NaN,NaN
2017-05-05,NaN,NaN,105704,102698,NaN,NaN,NaN
2017-05-08,NaN,NaN,68168,86346,NaN,NaN,NaN
2017-05-09,NaN,NaN,50856,128798,NaN,NaN,NaN
2017-05-10,NaN,NaN,38072,118918,NaN,NaN,NaN
2017-05-11,NaN,NaN,25208,92586,NaN,NaN,NaN
2017-05-12,NaN,NaN,25278,119980,NaN,NaN,NaN
2017-05-15,NaN,NaN,24588,124840,NaN,NaN,NaN
2017-05-16,NaN,NaN,20452,118992,48,NaN,NaN
2017-05-17,NaN,NaN,22394,133590,14,NaN,NaN
2017-05-18,NaN,NaN,31378,230310,22,NaN,NaN
2017-05-19,NaN,NaN,26120,186950,16,NaN,NaN
2017-05-22,NaN,NaN,12136,114482,30,NaN,NaN
2017-05-23,NaN,NaN,12494,123256,18,NaN,NaN
2017-05-24,NaN,NaN,12740,170178,42,NaN,NaN
2017-05-25,NaN,NaN,9958,136700,16,NaN,NaN
2017-05-26,NaN,NaN,9780,104532,20,NaN,NaN
2017-05-31,NaN,NaN,8156,74258,30,NaN,NaN
2017-06-01,NaN,NaN,3702,157458,48,NaN,NaN
2017-06-02,NaN,NaN,1728,129192,52,NaN,NaN
2017-06-05,NaN,NaN,1854,215452,78,NaN,NaN
2017-06-06,NaN,NaN,2238,135910,130,NaN,NaN
2017-06-07,NaN,NaN,636,138618,168,NaN,NaN
2017-06-08,NaN,NaN,702,141700,96,NaN,NaN
2017-06-09,NaN,NaN,888,223770,294,NaN,NaN
2017-06-12,NaN,NaN,1122,151544,420,NaN,NaN
2017-06-13,NaN,NaN,372,105884,118,NaN,NaN
2017-06-14,NaN,NaN,54,131122,238,NaN,NaN
2017-06-15,NaN,NaN,36,238286,224,NaN,NaN
2017-06-16,NaN,NaN,NaN,147956,2366,NaN,NaN
2017-06-19,NaN,NaN,NaN,99854,1990,NaN,NaN
2017-06-20,NaN,NaN,NaN,111782,4408,NaN,NaN
2017-06-21,NaN,NaN,NaN,104238,1196,NaN,NaN
2017-06-22,NaN,NaN,NaN,135198,450,NaN,NaN
2017-06-23,NaN,NaN,NaN,119404,266,NaN,NaN
2017-06-26,NaN,NaN,NaN,78260,212,NaN,NaN
2017-06-27,NaN,NaN,NaN,170412,730,NaN,NaN
2017-06-28,NaN,NaN,NaN,168850,1002,NaN,NaN
2017-06-29,NaN,NaN,NaN,158992,1142,NaN,NaN
2017-06-30,NaN,NaN,NaN,221690,1812,NaN,NaN
2017-07-03,NaN,NaN,NaN,142246,584,NaN,NaN
2017-07-04,NaN,NaN,NaN,190506,880,NaN,NaN
2017-07-05,NaN,NaN,NaN,102604,3090,NaN,NaN
2017-07-06,NaN,NaN,NaN,129270,1282,NaN,NaN
2017-07-07,NaN,NaN,NaN,115020,718,NaN,NaN
2017-07-10,NaN,NaN,NaN,241862,1980,NaN,NaN
2017-07-11,NaN,NaN,NaN,139294,800,NaN,NaN
2017-07-12,NaN,NaN,NaN,156136,734,NaN,NaN
2017-07-13,NaN,NaN,NaN,154644,852,NaN,NaN
2017-07-14,NaN,NaN,NaN,113550,568,NaN,NaN
2017-07-17,NaN,NaN,NaN,163458,880,NaN,NaN
2017-07-18,NaN,NaN,NaN,125924,1150,NaN,NaN
2017-07-19,NaN,NaN,NaN,113988,408,NaN,NaN
2017-07-20,NaN,NaN,NaN,100138,470,NaN,NaN
2017-07-21,NaN,NaN,NaN,173552,2092,NaN,NaN
2017-07-24,NaN,NaN,NaN,124830,378,NaN,NaN
2017-07-25,NaN,NaN,NaN,99046,234,NaN,NaN
2017-07-26,NaN,NaN,NaN,142662,1486,NaN,NaN
2017-07-27,NaN,NaN,NaN,164112,754,NaN,NaN
2017-07-28,NaN,NaN,NaN,149302,3220,NaN,NaN
2017-07-31,NaN,NaN,NaN,147076,930,NaN,NaN
2017-08-01,NaN,NaN,NaN,92472,686,NaN,NaN
2017-08-02,NaN,NaN,NaN,160750,636,NaN,NaN
2017-08-03,NaN,NaN,NaN,147540,844,NaN,NaN
2017-08-04,NaN,NaN,NaN,143116,1220,NaN,NaN
2017-08-07,NaN,NaN,NaN,175064,1064,NaN,NaN
2017-08-08,NaN,NaN,NaN,112310,1184,NaN,NaN
2017-08-09,NaN,NaN,NaN,186480,1906,NaN,NaN
2017-08-10,NaN,NaN,NaN,187428,2156,NaN,NaN
2017-08-11,NaN,NaN,NaN,222826,2592,NaN,NaN
2017-08-14,NaN,NaN,NaN,175078,848,NaN,NaN
2017-08-15,NaN,NaN,NaN,182520,1388,NaN,NaN
2017-08-16,NaN,NaN,NaN,119916,2948,NaN,NaN
2017-08-17,NaN,NaN,NaN,192184,3862,NaN,NaN
2017-08-18,NaN,NaN,NaN,144594,1546,NaN,NaN
2017-08-21,NaN,NaN,NaN,238136,3184,NaN,NaN
2017-08-22,NaN,NaN,NaN,149470,1754,NaN,NaN
2017-08-23,NaN,NaN,NaN,148734,2168,NaN,NaN
2017-08-24,NaN,NaN,NaN,119042,1418,NaN,NaN
2017-08-25,NaN,NaN,NaN,111830,2574,NaN,NaN
2017-08-28,NaN,NaN,NaN,263900,3602,NaN,NaN
2017-08-29,NaN,NaN,NaN,215014,3646,NaN,NaN
2017-08-30,NaN,NaN,NaN,220274,4032,NaN,NaN
2017-08-31,NaN,NaN,NaN,141360,2346,NaN,NaN
2017-09-01,NaN,NaN,NaN,173324,2066,NaN,NaN
2017-09-04,NaN,NaN,NaN,248002,5298,NaN,NaN
2017-09-05,NaN,NaN,NaN,118342,2272,NaN,NaN
2017-09-06,NaN,NaN,NaN,167572,3402,NaN,NaN
2017-09-07,NaN,NaN,NaN,171472,4586,NaN,NaN
2017-09-08,NaN,NaN,NaN,234876,5224,NaN,NaN
2017-09-11,NaN,NaN,NaN,205840,3958,NaN,NaN
2017-09-12,NaN,NaN,NaN,138828,3084,NaN,NaN
2017-09-13,NaN,NaN,NaN,105588,2658,NaN,NaN
2017-09-14,NaN,NaN,NaN,152354,3936,NaN,NaN
2017-09-15,NaN,NaN,NaN,148056,4426,NaN,NaN
2017-09-18,NaN,NaN,NaN,166142,3514,NaN,NaN
2017-09-19,NaN,NaN,NaN,146266,5570,NaN,NaN
2017-09-20,NaN,NaN,NaN,93828,1668,NaN,NaN
2017-09-21,NaN,NaN,NaN,196020,3776,NaN,NaN
2017-09-22,NaN,NaN,NaN,152812,4712,NaN,NaN
2017-09-25,NaN,NaN,NaN,101102,4946,NaN,NaN
2017-09-26,NaN,NaN,NaN,209918,6268,NaN,NaN
2017-09-27,NaN,NaN,NaN,177298,3930,NaN,NaN
